zh,,,,
Conversation,Entry ID,Actor,Original Text,Translated Text [zh]
0_start,0,Player,,
0_start,1,Mission Control,Hello?,喂？
0_start,2,Mission Control,"Good, you've survived. ",很好，你看起来一切正常。
0_start,3,Mission Control,You're the first robot to make it to the Cube.,你是第一个到达方星的机器人。
0_start,4,Mission Control,"The interference was very strong, we've no idea what functions were damaged.",方星上的干扰很强烈，可能有些技能受到了损害。
0_start,5,Mission Control,Try to START moving.,先试试【开始】移动吧。
0_start,6,Mission Control,"If your movement algorithm gets stuck in a loop, try turning around.",如果你的移动算法让你一直绕圈的话，试试转向。
0_start,7,Mission Control,We've sent some people to the cube before but they all disappeared. We hope you can make a difference,我们之前也运送了一些人到方星上，但他们都不见了，希望你能有所不同。
3_start,0,Mission Control,,
3_start,1,Mission Control,The surface of the Cube is always changing.,方星的表面在不断变化。
3_start,2,Mission Control,Our best analysis can't understand the pattern... if there is one.,我们始终研究不出来变化的模式，可能根本就没有什么模式。
3_start,3,Mission Control,"You're one of our most advanced learning AI, so you should be able to adapt, if...",你是我们最先进的学习型AI机器人，你应该能适应这些变化，我是这么希望的。
3_start,4,Mission Control,"Well, try moving through this new design.",那么，试着在这个新的模式下移动吧。
2_start,0,Mission Control,,
2_start,1,Mission Control,Something is different.,有些什么不一样了。
2_start,2,Mission Control,There is a lever on the road.,路上出现了拉杆。
2_start,3,Mission Control,We'd not seen one before. This is - Put my cereal down Johnson!,我们之前没见过这个，这可太——把我的豆花放下陈立伟！
2_start,4,Mission Control,"Eh, sorry. This is promising. Please investigate this for us.",额，不好意思。这可太令人期待了，请好好探索一下这个拉杆。
4_start,0,Mission Control,,
4_start,1,Mission Control,"Good, your self repair functions seems working.",很好，你的自我修复装置看起来运作的不错。
4_start,2,Mission Control,And just in time. We don't have much more power left for communication.,我们也没多少电力供交流了，祝你好运吧。
1_start,0,Mission Control,,
1_start,1,Mission Control,Make sure you collect any items you find on the surface.,对了，如果可以，尽量收集那些头盔。
1_start,2,Mission Control,"Every manned expedition... disappeared, but... their items remained.",之前探索的人……都不见了，但他们的头盔留了下来。
1_start,3,Mission Control,We need to understand what happened. Good luck.,我们希望能通过这些头盔了解发生了什么。
0_end,0,Memory,,
0_end,1,Memory,Expedition Log 1,探索日志一
0_end,2,Memory,We've landed on one of the cubes.,
0_end,3,Memory,"They are smooth and reflective, and the surface can be walked on.",
0_end,5,Mission Control,Is everything OK? We noticed some strong interferences happenning.,
0_end,6,Mission Control,There were reports that unknown voices can be heard on the cube.,
0_end,7,Mission Control,We are not sure if those are coming from the past or... ,
0_end,8,Mission Control,"Well keep exploring, we will figure it out.",
0_end,9,Memory,"All items collected, expedition log 1 decrypted",
unfinished,0,Memory,,
unfinished,1,Memory,Cube... Swallow... Love... ,
